"","date","category","content"
"1",2019-09-01 12:00:00,"A","No clue"
"2",2019-09-01 13:00:00,"A","Check with author"
"3",2019-09-01 14:00:00,"A","Attach"
"4",2019-09-01 15:00:00,"C","Attach"
"5",2019-09-01 16:00:00,"A","Check with author"
"6",2019-09-01 17:00:00,"A","Attach"
"7",2019-09-01 18:00:00,"A","Attach"
"8",2019-09-01 19:00:00,"C","No clue"
"9",2019-09-01 20:00:00,"A","Limit"
"10",2019-09-01 21:00:00,"A","Limit"
"11",2019-09-01 22:00:00,"C","Check with author"
"12",2019-09-01 23:00:00,"C","Debug"
"13",2019-09-02 00:00:00,"A","Debug"
"14",2019-09-02 01:00:00,"A","Warn"
"15",2019-09-02 02:00:00,"C","Warn"
"16",2019-09-02 03:00:00,"A","No clue"
"17",2019-09-02 04:00:00,"A","Check with author"
"18",2019-09-02 05:00:00,"A","Debug"
"19",2019-09-02 06:00:00,"A","Attach"
"20",2019-09-02 07:00:00,"A","Attach"
"21",2019-09-02 08:00:00,"C","Attach"
"22",2019-09-02 09:00:00,"A","Error"
"23",2019-09-02 10:00:00,"A","Check with author"
"24",2019-09-02 11:00:00,"A","Attach"
"25",2019-09-02 12:00:00,"C","Check with author"
"26",2019-09-02 13:00:00,"A","Limit"
"27",2019-09-02 14:00:00,"A","Debug"
"28",2019-09-02 15:00:00,"C","Limit"
"29",2019-09-02 16:00:00,"B","Error"
"30",2019-09-02 17:00:00,"C","Debug"
"31",2019-09-02 18:00:00,"A","Limit"
"32",2019-09-02 19:00:00,"A","Attach"
"33",2019-09-02 20:00:00,"A","Check with author"
"34",2019-09-02 21:00:00,"C","Debug"
"35",2019-09-02 22:00:00,"C","No clue"
"36",2019-09-02 23:00:00,"C","Debug"
"37",2019-09-03 00:00:00,"A","Attach"
"38",2019-09-03 01:00:00,"A","No clue"
"39",2019-09-03 02:00:00,"A","Attach"
"40",2019-09-03 03:00:00,"A","Error"
"41",2019-09-03 04:00:00,"A","Error"
"42",2019-09-03 05:00:00,"A","Error"
"43",2019-09-03 06:00:00,"A","Warn"
"44",2019-09-03 07:00:00,"C","Error"
"45",2019-09-03 08:00:00,"C","No clue"
"46",2019-09-03 09:00:00,"A","Check with author"
"47",2019-09-03 10:00:00,"A","No clue"
"48",2019-09-03 11:00:00,"A","No clue"
"49",2019-09-03 12:00:00,"B","Error"
"50",2019-09-03 13:00:00,"A","Check with author"
"51",2019-09-03 14:00:00,"C","Limit"
"52",2019-09-03 15:00:00,"A","Warn"
"53",2019-09-03 16:00:00,"A","Limit"
"54",2019-09-03 17:00:00,"C","Error"
"55",2019-09-03 18:00:00,"C","Debug"
"56",2019-09-03 19:00:00,"A","No clue"
"57",2019-09-03 20:00:00,"A","Debug"
"58",2019-09-03 21:00:00,"C","Check with author"
"59",2019-09-03 22:00:00,"A","Error"
"60",2019-09-03 23:00:00,"A","Error"
"61",2019-09-04 00:00:00,"A","Limit"
"62",2019-09-04 01:00:00,"A","Debug"
"63",2019-09-04 02:00:00,"A","Debug"
"64",2019-09-04 03:00:00,"B","Debug"
"65",2019-09-04 04:00:00,"C","Check with author"
"66",2019-09-04 05:00:00,"C","No clue"
"67",2019-09-04 06:00:00,"B","Limit"
"68",2019-09-04 07:00:00,"A","Limit"
"69",2019-09-04 08:00:00,"A","Attach"
"70",2019-09-04 09:00:00,"A","Debug"
"71",2019-09-04 10:00:00,"A","Attach"
"72",2019-09-04 11:00:00,"C","Check with author"
"73",2019-09-04 12:00:00,"A","Attach"
"74",2019-09-04 13:00:00,"A","Check with author"
"75",2019-09-04 14:00:00,"A","Debug"
"76",2019-09-04 15:00:00,"A","Attach"
"77",2019-09-04 16:00:00,"B","Debug"
"78",2019-09-04 17:00:00,"B","Error"
"79",2019-09-04 18:00:00,"C","Debug"
"80",2019-09-04 19:00:00,"A","Debug"
"81",2019-09-04 20:00:00,"A","Error"
"82",2019-09-04 21:00:00,"C","Error"
"83",2019-09-04 22:00:00,"A","No clue"
"84",2019-09-04 23:00:00,"C","Check with author"
"85",2019-09-05 00:00:00,"C","No clue"
"86",2019-09-05 01:00:00,"C","Check with author"
"87",2019-09-05 02:00:00,"A","No clue"
"88",2019-09-05 03:00:00,"C","Limit"
"89",2019-09-05 04:00:00,"C","Check with author"
"90",2019-09-05 05:00:00,"A","Limit"
"91",2019-09-05 06:00:00,"A","Check with author"
"92",2019-09-05 07:00:00,"A","Debug"
"93",2019-09-05 08:00:00,"B","Check with author"
"94",2019-09-05 09:00:00,"A","Warn"
"95",2019-09-05 10:00:00,"C","Attach"
"96",2019-09-05 11:00:00,"A","Attach"
"97",2019-09-05 12:00:00,"A","Debug"
"98",2019-09-05 13:00:00,"A","Error"
"99",2019-09-05 14:00:00,"B","Error"
"100",2019-09-05 15:00:00,"A","Limit"
"101",2019-09-05 16:00:00,"A","Debug"
"102",2019-09-05 17:00:00,"C","Attach"
"103",2019-09-05 18:00:00,"A","Limit"
"104",2019-09-05 19:00:00,"A","Warn"
"105",2019-09-05 20:00:00,"A","Error"
"106",2019-09-05 21:00:00,"C","Limit"
"107",2019-09-05 22:00:00,"C","Warn"
"108",2019-09-05 23:00:00,"A","Attach"
"109",2019-09-06 00:00:00,"B","Debug"
"110",2019-09-06 01:00:00,"C","Error"
"111",2019-09-06 02:00:00,"A","No clue"
"112",2019-09-06 03:00:00,"A","No clue"
"113",2019-09-06 04:00:00,"A","Error"
"114",2019-09-06 05:00:00,"B","Debug"
"115",2019-09-06 06:00:00,"A","Attach"
"116",2019-09-06 07:00:00,"A","Limit"
"117",2019-09-06 08:00:00,"A","No clue"
"118",2019-09-06 09:00:00,"A","Warn"
"119",2019-09-06 10:00:00,"A","Attach"
"120",2019-09-06 11:00:00,"C","Attach"
"121",2019-09-06 12:00:00,"C","Warn"
"122",2019-09-06 13:00:00,"A","Attach"
"123",2019-09-06 14:00:00,"A","Attach"
"124",2019-09-06 15:00:00,"C","Attach"
"125",2019-09-06 16:00:00,"C","Error"
"126",2019-09-06 17:00:00,"C","Error"
"127",2019-09-06 18:00:00,"A","Limit"
"128",2019-09-06 19:00:00,"B","Error"
"129",2019-09-06 20:00:00,"C","Debug"
"130",2019-09-06 21:00:00,"A","Attach"
"131",2019-09-06 22:00:00,"C","Error"
"132",2019-09-06 23:00:00,"A","Check with author"
"133",2019-09-07 00:00:00,"A","Check with author"
