"","date","category","content"
"1",2018-01-01 12:00:00,"A","Check with author"
"2",2018-01-01 12:20:00,"A","No clue"
"3",2018-01-01 12:40:00,"B","Attach"
"4",2018-01-01 13:00:00,"A","No clue"
"5",2018-01-01 13:20:00,"C","Warn"
"6",2018-01-01 13:40:00,"A","Attach"
"7",2018-01-01 14:00:00,"B","Limit"
"8",2018-01-01 14:20:00,"A","No clue"
"9",2018-01-01 14:40:00,"C","Check with author"
"10",2018-01-01 15:00:00,"C","Debug"
"11",2018-01-01 15:20:00,"C","Check with author"
"12",2018-01-01 15:40:00,"C","Debug"
"13",2018-01-01 16:00:00,"C","No clue"
"14",2018-01-01 16:20:00,"B","Debug"
"15",2018-01-01 16:40:00,"C","Attach"
"16",2018-01-01 17:00:00,"C","Attach"
"17",2018-01-01 17:20:00,"A","Error"
"18",2018-01-01 17:40:00,"A","No clue"
"19",2018-01-01 18:00:00,"C","No clue"
"20",2018-01-01 18:20:00,"C","Error"
"21",2018-01-01 18:40:00,"B","Warn"
"22",2018-01-01 19:00:00,"A","Attach"
"23",2018-01-01 19:20:00,"C","Check with author"
"24",2018-01-01 19:40:00,"C","Attach"
"25",2018-01-01 20:00:00,"C","No clue"
"26",2018-01-01 20:20:00,"A","Attach"
"27",2018-01-01 20:40:00,"A","Warn"
"28",2018-01-01 21:00:00,"B","Check with author"
"29",2018-01-01 21:20:00,"C","Warn"
"30",2018-01-01 21:40:00,"C","Debug"
"31",2018-01-01 22:00:00,"C","Debug"
"32",2018-01-01 22:20:00,"B","Warn"
"33",2018-01-01 22:40:00,"C","Debug"
"34",2018-01-01 23:00:00,"A","Check with author"
"35",2018-01-01 23:20:00,"A","Limit"
"36",2018-01-01 23:40:00,"A","Check with author"
"37",2018-01-02 00:00:00,"B","Warn"
"38",2018-01-02 00:20:00,"C","Limit"
"39",2018-01-02 00:40:00,"B","Attach"
"40",2018-01-02 01:00:00,"B","Attach"
"41",2018-01-02 01:20:00,"B","Warn"
"42",2018-01-02 01:40:00,"C","Error"
"43",2018-01-02 02:00:00,"B","Attach"
"44",2018-01-02 02:20:00,"B","Warn"
"45",2018-01-02 02:40:00,"C","Attach"
"46",2018-01-02 03:00:00,"C","Check with author"
"47",2018-01-02 03:20:00,"A","Error"
"48",2018-01-02 03:40:00,"B","Warn"
"49",2018-01-02 04:00:00,"A","Error"
"50",2018-01-02 04:20:00,"C","No clue"
"51",2018-01-02 04:40:00,"B","Check with author"
"52",2018-01-02 05:00:00,"A","No clue"
"53",2018-01-02 05:20:00,"B","Check with author"
"54",2018-01-02 05:40:00,"B","Limit"
"55",2018-01-02 06:00:00,"C","Debug"
"56",2018-01-02 06:20:00,"A","Warn"
"57",2018-01-02 06:40:00,"C","No clue"
"58",2018-01-02 07:00:00,"B","Attach"
"59",2018-01-02 07:20:00,"C","Check with author"
"60",2018-01-02 07:40:00,"B","Check with author"
"61",2018-01-02 08:00:00,"C","Warn"
"62",2018-01-02 08:20:00,"C","No clue"
"63",2018-01-02 08:40:00,"B","Debug"
"64",2018-01-02 09:00:00,"B","Error"
"65",2018-01-02 09:20:00,"A","Warn"
